Path|Key|Source (EN_UK)|Target (ES)
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount|Fractional count|!!MISE À JOUR 03292021Fractional 
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.internal|Fractional count internal|!!Comptage fractionnel interne
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.external|Fractional count external|!!Comptage fractionnel externe
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.internalOnly|Fractional count internal only|!!Comptage fractionnel interne uniquement
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.person.production-numbers-title|Personal overview - last 3 years|!!Aperçu personnel -3 dernières années
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.person.production-numbers-description|Overview of the current academics and their activities from the last 3 years|!!Aperçu des universitaires actuels et de leurs activités des 3 dernières années
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.journal-title|Publication overview - last 3 years|!!Aperçu de la publication -3 dernières années
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.journal-description|Overview of outputs within the period. Including PlumX metrics, publication status, workflow and details from from both associated journals and publishers.|!!Aperçu des sorties au cours de la période. Y compris les métriques PlumX, le statut de publication, le flux de travail et les détails des revues et éditeurs associés.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.user.assignable.roles-title|User assignment overview|!!Aperçu de l’affectation de l’utilisateur
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.user.assignable.roles-description|Overview of selected user role assignments across organisational units|!!Aperçu des attributions de rôle d’utilisateur sélectionnées dans les unités organisationnelles
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.funding-title|Funding overview - last 3 years|!!Aperçu du financement -3 dernières années
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.funding-description|Overview of funding information with focus on awards from the last 3 years and related applications|!!Aperçu des informations de financement en mettant l’accent sur les récompenses des 3 dernières années et les demandes associées
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.contributors-title|Research output contributors - outputs published this year|!!Contributeurs des résultats de la recherche -résultats publiés cette année
